Item,Qty,Reference(s),Value,manf#
1,2,"C1, C2",10uF,885012107004
2,2,"D1, D2",LED,
5,1,J3,BAT,
6,1,R1,330,CRCW0805330RFKEAC
7,1,R2,10k,ESR10EZPJ103
8,1,R3,1k,ESR10EZPJ102
9,1,U1,MCP73831-2-OT,
